Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
50,0.41767834,0.11114537,0.00001303,0.5634,0.6770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4898,0.0000,0.0000,0.0000,0.0000,0.0000,252.2205,512,0.45,0.9600,15.0,0,2,12,0.000000
51,0.41804384,0.10884207,0.00001291,0.5764,0.7011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4462,0.0000,0.0000,0.0000,0.0000,0.0000,254.9536,512,0.60,0.9600,15.0,0,2,12,0.000000
52,0.41704168,0.08740320,0.00001275,0.6378,0.7195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4374,0.0000,0.0000,0.0000,0.0000,0.0000,259.1164,512,0.60,0.9600,15.0,0,2,12,0.000000
53,0.41411784,0.11481931,0.00001258,0.5135,0.6531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4973,0.0000,0.0000,0.0000,0.0000,0.0000,248.3842,512,0.60,0.9600,15.0,0,2,12,0.000000
54,0.44035433,0.10677801,0.00001243,0.5523,0.7057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4553,0.0000,0.0000,0.0000,0.0000,0.0000,253.7947,512,0.75,0.9600,15.0,0,2,12,0.000000
55,0.41485132,0.09696528,0.00001223,0.6377,0.7174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4122,0.0000,0.0000,0.0000,0.0000,0.0000,259.5090,512,0.75,0.9600,15.0,0,2,12,0.000000
56,0.41363852,0.13481722,0.00001204,0.5437,0.6761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4732,0.0000,0.0000,0.0000,0.0000,0.0000,251.5236,512,0.75,0.9600,15.0,0,2,12,0.000000
57,0.41492190,0.10730265,0.00001186,0.6147,0.7208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4066,0.0000,0.0000,0.0000,0.0000,0.0000,258.6415,512,0.90,0.9600,15.0,0,2,12,0.000000
58,0.41403868,0.10444971,0.00001165,0.5511,0.6747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4734,0.0000,0.0000,0.0000,0.0000,0.0000,251.8202,512,0.90,0.9600,15.0,0,2,12,0.000000
59,0.41071728,0.11047723,0.00001144,0.5990,0.7162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4516,0.0000,0.0000,0.0000,0.0000,0.0000,256.7284,512,0.90,0.9600,15.0,0,2,12,0.000000
