Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
42,0.17725182,0.20627102,0.00007408,0.4533,0.4620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5854,0.0000,0.0000,0.0000,0.0000,0.0000,45.7692,224,1.00,0.5031,15.0,3,30,1,0.000000
43,0.18303906,0.21672556,0.00007394,0.4603,0.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5839,0.0000,0.0000,0.0000,0.0000,0.0000,45.2644,224,1.00,0.5000,15.0,0,30,1,0.000000
44,0.18176650,0.20466329,0.00007381,0.4445,0.4526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5898,0.0000,0.0000,0.0000,0.0000,0.0000,44.8576,224,1.00,0.5000,15.0,0,30,1,0.000000
45,0.18060325,0.20586472,0.00007367,0.4490,0.4538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5922,0.0000,0.0000,0.0000,0.0000,0.0000,45.1414,224,1.00,0.5000,15.0,0,30,1,0.000000
46,0.17968218,0.20707312,0.00007352,0.4498,0.4588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5880,0.0000,0.0000,0.0000,0.0000,0.0000,45.4316,224,1.00,0.5000,15.0,0,30,1,0.000000
47,0.18565290,0.21039888,0.00007337,0.4305,0.4520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5919,0.0000,0.0000,0.0000,0.0000,0.0000,44.1239,224,1.00,0.5000,15.0,0,30,1,0.000000
48,0.18136243,0.20856361,0.00006224,0.4367,0.4419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5957,0.0000,0.0000,0.0000,0.0000,0.0000,43.9289,224,1.00,0.5000,15.0,0,30,1,0.000000
49,0.17919754,0.21189171,0.00006218,0.4487,0.4558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5874,0.0000,0.0000,0.0000,0.0000,0.0000,45.2224,224,1.00,0.5000,15.0,0,30,1,0.000000
50,0.17841750,0.20559846,0.00006205,0.4445,0.4563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5921,0.0000,0.0000,0.0000,0.0000,0.0000,45.0398,224,1.00,0.5000,15.0,0,30,1,0.000000
51,0.17692933,0.20008910,0.00006192,0.4337,0.4617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5943,0.0000,0.0000,0.0000,0.0000,0.0000,44.7703,224,1.00,0.5000,15.0,0,30,1,0.000000
